Var1	CD34neg_CD71lo_GlyApos	CD34neg_CD71neg_GlyApos	CD34neg_CD71pos_GlyAneg	CD34neg_CD71pos_GlyApos	CD34pos_CD71pos_GlyAneg
ACTN1	1.69126166856386	1.95294459245133	4.09571720534365	1.34748973363446	2.3924314012201
ADH5	1.75413185927579	1.73571545054842	2.65300414549376	1.6156310383274	2.68043959980363
ADIPOR1	11.7239258924059	12.5391024430509	2.97357543474047	13.8755155115056	2.35336548026693
AGK	1.70685585801237	1.66079092321168	2.36216713260001	1.5146082191553	2.4744461305066
AHCY	1.55949404633197	1.40337604247199	2.04499058060437	1.38419806783673	2.26572234347783
AIMP2	10.7880038323702	10.2324687587867	3.93358400888129	13.2837629283685	3.12174184292846
AKAP1	1.51168964324641	1.25237713170452	2.21280063122186	1.29445163027021	2.31222608786184
AKR1A1	1.44439735371172	1.33084789714125	1.92503783244586	1.30401691030961	2.23448682525453
AKR1B1	1.5355611131645	1.50633699107208	2.06312971479225	1.28130197914475	2.66549487933489
ALAS2	16.7262097625281	16.3768573128729	2.87683770552683	22.2181573046784	1.87090469874628
ALDH18A1	2.20453556043574	2.00946425117014	2.46805630425611	1.92438723064942	2.59160345246469
ALG5	1.59189332338107	1.48808375006392	2.24014381734481	1.46637752899566	2.25656069344056
ALG8	1.95114841005786	1.66387981073687	3.32078620809545	1.65170497622297	3.54996166239792
ANKRD46	1.30796213932381	1.18419854907161	1.93173237578633	1.26961450421136	1.94224089082945
AP3S1	2.52157609057486	2.54230995706752	4.55960119321578	2.00824461284024	4.12022009614514
ARF3	1.68282739988342	1.74602529487081	3.38135347484904	1.32909796558908	3.2266338560292
ARF4	8.34108643204795	8.67650873475157	4.6433159806294	10.871635404806	4.02458984535485
ARG1	2.30127700357298	1.95550249703788	1.26938089663274	3.04565774442284	0.879188557232741
ARL4A	4.97127740417614	4.71145281287317	1.63339513732752	6.55901681680599	1.4364314755669
ARL6IP1	12.4311889710194	12.1260801742265	5.23589685114643	14.0441987546467	4.52487421505768
ARPC1B	1.70005291020379	2.02021774696686	2.89000768790344	1.47741542830064	2.28057252883373
ATG14	4.85905420065959	5.02887305823758	2.16402734799306	5.45434980930467	2.22629829369239
ATIC	2.69834873131055	2.2790266946995	3.89329470286302	2.24827208176378	4.14479074892168
ATR	1.75235650790877	1.51273967081451	2.46961084747729	1.52104838026331	2.86574420877941
BEX3	1.40618194220581	1.30981470610458	2.12637136661665	1.1859401167891	2.49347207653709
BLMH	1.8777606314964	1.73405401995776	2.60553977114262	1.74831750809726	2.68829468627003
BMP2K	6.42013519049654	4.98954014241287	3.19387315836504	7.22947087882873	3.24061330169571
BPGM	8.67227788451811	9.18622629028237	2.01766175997445	10.5117408112725	1.42089109900721
